url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement,131,84
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/README.md,83,58
/microsoft/Azure-Analytics-and-AI-Engagement/tree/ignite-lab-2024,69,39
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,34,20
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,28,17
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric/artifacts,20,8
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric,19,12
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,15,14
/microsoft/Azure-Analytics-and-AI-Engagement/tree/ignite-preday-2024,12,6
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric/artifacts/binaries,12,5
