time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-20 00:00:00+00:00,6,6,45,14
2025-02-21 00:00:00+00:00,6,6,19,14
2025-02-22 00:00:00+00:00,5,5,12,7
2025-02-23 00:00:00+00:00,6,5,38,12
2025-02-24 00:00:00+00:00,11,9,62,24
2025-02-25 00:00:00+00:00,14,11,109,32
2025-02-26 00:00:00+00:00,8,7,64,21
2025-02-27 00:00:00+00:00,12,11,45,15
2025-02-28 00:00:00+00:00,12,10,133,24
2025-03-01 00:00:00+00:00,14,7,22,7
2025-03-02 00:00:00+00:00,6,6,69,12
2025-03-03 00:00:00+00:00,9,8,91,24
2025-03-04 00:00:00+00:00,16,10,145,23
2025-03-05 00:00:00+00:00,7,3,123,24
